DMY;Price;VolumeM;USAvgKWHPrice;Difficulty;BTCCirculation;InflationRateUS;HasMuskMentioned;GoogleTrends
1.08.2010;0,1;0,222;0,133;112,384;3561446;1,2;0;653900
1.09.2010;0,1;0,217;0,132;446,817;3856725;1,1;0;497700
1.10.2010;0,2;1,11;0,127;754,351;4121825;1,1;0;1276100
1.11.2010;0,2;0,826;0,125;1613,261;4418225;1,2;0;1709700
1.12.2010;0,3;0,264;0,125;5289,232;4714825;1,1;0;3182200
1.01.2011;0,5;0,378;0,125;11455,975;5012675;1,5;0;2359000
1.02.2011;0,9;0,367;0,125;17798,621;5249202;1,6;0;8142200
1.03.2011;0,8;0,243;0,127;28794,37;5543825;2,1;0;9930000
1.04.2011;3,5;0,869;0,127;69942,262;5779525;2,7;0;13854000
1.05.2011;8,7;0,949;0,129;82893,857;6045425;3,2;0;67577000
1.06.2011;16,1;1,36;0,134;203206,23;6368775;3,6;0;199881000
1.07.2011;13,4;1,05;0,135;859035,423;6691375;3,6;0;91680000
1.08.2011;8,2;1,22;0,135;1562755,6;6925825;3,6;0;77702000
1.09.2011;5,1;1,49;0,135;1850013,3;7164821;3,8;0;51531000
1.10.2011;3,3;1,73;0,13;1757755,893;7374275;3,9;0;39515000
1.11.2011;3;1,97;0,128;1578764,916;7553325;3,5;0;27862000
1.12.2011;4,7;1,9;0,127;1194221,63;7764615;3,4;0;25585000
1.01.2012;5,5;3,21;0,128;1134575,682;7982794;3;0;39473000
1.02.2012;4,9;2,84;0,128;1238701,432;8232154;2,9;0;28960000
1.03.2012;4,9;1,76;0,127;1361974,275;8444575;2,9;0;27520000
1.04.2012;4,9;1,66;0,127;1493822,835;8662848;2,7;0;31643000
1.05.2012;5,2;1,24;0,129;1590437,103;8881904;2,3;0;29179000
1.06.2012;6,7;1,38;0,135;1650381,932;9095775;1,7;0;29181000
1.07.2012;9,4;1,9;0,133;1633343,219;9343625;1,7;0;34806000
1.08.2012;10,2;2,45;0,133;1818615,707;9562933;1,4;0;45290000
1.09.2012;12,4;0,96;0,133;2211214,609;9816902;1,7;0;46691000
1.10.2012;11,2;1,15;0,128;2700064,402;10043575;2;0;38168000
1.11.2012;12,6;0,804;0,127;3072594,04;10273171;2,2;0;41499000
1.12.2012;13,5;0,877;0,127;3347869,999;10500206;1,8;0;49293000
1.01.2013;20,4;1,46;0,129;3341018,162;10610288;1,7;0;56878000
1.02.2013;33,4;1,58;0,129;3130052,999;10717419;1,6;0;79603000
1.03.2013;93;2,12;0,128;3351827,319;10839558;2;0;224506000
1.04.2013;139,2;4,73;0,128;5226184,802;10974413;1,5;0;626054000
1.05.2013;128,8;2,07;0,131;8074032,622;11093338;1,1;0;253222000
1.06.2013;97,5;1,05;0,137;11005339,77;11212013;1,4;0;165830000
1.07.2013;106,2;1,14;0,137;16408638,72;11345763;1,8;0;164115000
1.08.2013;141;0,605;0,137;26081919,01;11479847;2;0;169602000
1.09.2013;141,9;0,451;0,137;49669961,09;11629688;1,5;0;134260000
1.10.2013;211,2;0,754;0,132;100219192,7;11765075;1,2;0;265215000
1.11.2013;1205,7;1,13;0,13;242295497,5;11918413;1;0;884563000
1.12.2013;805,9;0,921;0,131;553998642,6;12056288;1,2;0;1046538000
1.01.2014;938,8;0,306;0,134;923141702,5;12196238;1,5;0;678741000
1.02.2014;573,9;0,996;0,134;1727539003;12321549;1,6;0;667296000
1.03.2014;444,7;0,094;0,135;2707969782;12448965;1,1;0;566153000
1.04.2014;445,6;0,161;0,131;4267453365;12578147;1,5;0;310759000
1.05.2014;627,9;0,086;0,136;6240799613;12708857;2;0;264204000
1.06.2014;635,1;0,112;0,143;8914687672;12837676;2,1;0;253889000
1.07.2014;589,5;0,107;0,143;12714842298;12965040;2,1;0;243803000
1.08.2014;481,8;0,126;0,143;17298596159;13075358;2;0;250824000
1.09.2014;388,2;0,296;0,141;21006740421;13203468;1,7;0;251428000
1.10.2014;337,9;0,569;0,136;29835630795;13331113;1,7;0;242564000
1.11.2014;374,9;0,711;0,134;35129568785;13440590;1,7;0;225138000
1.12.2014;318,2;0,847;0,135;39399808418;13549438;1,3;0;245765000
1.01.2015;218,5;1,56;0,138;39821208372;13659572;0,8;0;262214000
1.02.2015;254,1;2,09;0,138;42459460030;13769938;-0,1;0;209549000
1.03.2015;244,1;2,97;0,136;43479593849;13880213;0;0;230292000
1.04.2015;235,8;2,07;0,137;47063706077;13989352;-0,1;0;197399000
1.05.2015;229,8;1,64;0,137;48500370320;14098154;-0,2;0;200307000
1.06.2015;264,1;1,75;0,143;48143458882;14207029;0;0;206475000
1.07.2015;283,7;1,86;0,142;48802413542;14331163;0,1;0;241076000
1.08.2015;229,5;2,22;0,142;50894577836;14439313;0,2;0;236005000
1.09.2015;235,9;1,65;0,141;53002575837;14547388;0,2;0;200734000
1.10.2015;311,2;2,28;0,136;57717884513;14671784;0;0;223035000
1.11.2015;378;4,29;0,134;61038272500;14779988;0,2;0;301698000
1.12.2015;430;3,2;0,133;65905260271;14887479;0,5;0;307728000
